"date","years","offense","motivation_bias","district_number","community"
"2023-02-16","2023","Battery: Aggravated","Anti-immigrant","9","Gage Park"
"2023-02-16","2023","Battery: Aggravated","Anti-white","16","Portage Park"
"2023-02-16","2023","Battery: Aggravated","Anti-white","16","Portage Park"
"2023-02-18","2023","Battery: Aggravated","Anti-white","16","Ohare"
"2023-02-22","2023","Battery: Aggravated","Anti-arab","22","Washington Heights"
"2023-02-23","2023","Battery: Aggravated","Anti-lgbtqia","3","Greater Grand Crossing"
"2023-02-26","2023","Battery: Aggravated","Anti-white","8","West Lawn"
"2023-01-27","2023","Assault: Aggravated","Anti-jewish","20","Edgewater"
"2023-03-13","2023","Assault: Aggravated","Anti-black","18","Near North Side"
"2023-01-17","2023","Battery: Aggravated","Religious Supremacist","16","Dunning"
